Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District,Latitude,Longitude
ANCHUTHARA FOOD PRODUCTS,"MLA Rd, Poochakkal, Cherthala, Panavally, Kerala 688526, India",Kerala,688526,125309,148841,235584,133054,23109,194717,97182,76726,66718,Cherthala,Alappuzha,9.806103366981132,76.35243924716981
ANCHUTHENGIL AGRI SUPPLY,"Anchuthengu, Kerala, India",Kerala,686012,14663,6341,20036,18192,39140,36685,21334,33294,25039,Kottayam,Kottayam,9.54856711111111,76.52230786666667
ANGEL CASHEWS,"2QHX+CR5, Thalavoor, Kerala 691560, India",Kerala,691560,15876,0,0,0,0,0,0,0,0,Kottarakara,Kollam,9.04378430952381,76.78092363809523
ANJALA EXPORTS,"VIP Nagar Pandian Nagar East Tiruppur, PN Rd, Mummoorthi Nagar, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,3604,0,0,0,0,2180,0,0,4515,Tiruppur,Coimbatore,11.121108205263157,77.34359659473684
ANJIPARAMBIL ASSOCIATES,"Parambithara Rd, Panampilly Nagar, Kochi, Kerala 682036, India",Kerala,682036,844,0,0,0,0,0,0,0,0,Ernakulam,Ernakulam,9.959980295833333,76.29498357083334
ANTHONY GARMENTS,"No. 3, Athimarathottam, Sirupooluvapatti, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,32597,56582,18048,0,0,0,10400,0,0,Tiruppur,Coimbatore,11.135501066666667,77.34238386666667
ANUGRAHA FASHION MILL P.LTD.,"Garmenting Division Unit-IINO.932 Dharapuram RoadVattamalai, PO, A.P, Pudur, Kangeyam, Tamil Nadu 638701, India",Tamil Nadu,638701,3675,0,43986,0,0,19374,60812,257663,606151,Kangayam,Erode,11.008906164814816,77.55643352407408
ANUSAM APPARELS,"Vengamedu, Poyampalayam, Chettipalayam, Tiruppur, Tamil Nadu 641602, India",Tamil Nadu,641602,35831,28931,0,13624,36133,0,65182,54471,61687,Tiruppur,Coimbatore,11.121108205263157,77.34359659473684
AQUA GENO EXIM,"V872+GG9, Keltron Rd, Aroor gram panchayat, Kochi, Kerala 688534, India",Kerala,688534,869736,1312747,1616572,1407420,586870,1100174,2182268,1430007,903955,Cherthla,Alappuzha,9.871729377142858,76.30438504
AQUA SEAFOOD(INDIA)P.LTD.,"22/1177, Aroor - Thoppumpady Rd, N.H. 47, Edakochi, Kochi, Kerala 682010, India",Kerala,682010,1648460,1512526,110000,0,0,28000,0,67159,26000,Kochi,Ernakulam,9.9107678,76.29057865833333
